smiles,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,P_ratio
COCC[B-](c1cc(F)cc(F)c1)(C(F)(F)F)C1(C)CCC(=O)C1,24.0,24.0,8.0,5.0,2.0,349.12800000000016,329.97600000000006,26.3,3.881800000000003,81.70900000000003,134.0,0.2554487892627321,-0.3879436796960443,1.2083333333333333,1.7916666666666667,2.2083333333333335,14.287875566893423,-4.737962962962962,0.08906946593012481,0.8068920331769941,0.5906989476844331,0.9137708708464473,1813.7384064033993,2805.7292629413605,3070.495408047258,3.318599085587101,0.5471358888595853,0.0005038052166841598,1.172628638522422,0.4375,8.0,1.0,0.01550385996446896,0.37209302325581384,0.4418604651162789,0.046511627906976744,0.0,0.11627906976744186,0.0,0.023255813953488372,0.0
C=CC(C)(C)[B-](CC=CCCC)(OC)C1=CCCCC1,20.0,20.0,2.0,8.0,1.0,275.265,243.00899999999993,9.23,5.940400000000007,92.40700000000007,114.0,0.1492687854249703,-0.5878409856657875,1.35,2.1,2.6,6.18504086356765,-1.025685941043084,0.20385188335262522,0.9017447966740164,0.4322688071921644,0.7512054242988262,1245.734665800042,2164.8627488637353,2881.851859475608,3.3807991198194123,0.3191371973587544,0.0006030220117671553,1.0128317584513011,0.3333333333333333,8.0,0.5,-0.012154344593739397,0.34615384615384603,0.6153846153846154,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.0
CCCCC(F)=C(F)[B-](CC=C(C)C)(COCC1CCCC1)C(C)C(C)C,27.0,27.0,4.0,12.0,1.0,383.3960000000002,341.0600000000001,9.23,8.073500000000008,115.79800000000009,158.0,0.09796781267131326,-0.4181792315856108,1.1481481481481481,1.7777777777777777,2.2962962962962963,15.62428870622323,-1.751371882086168,0.12861192626564735,0.8491919667362239,0.5280842770151978,0.7520992560905465,2840.4786490413185,4045.4184528269434,5378.835865169249,3.9993578197894624,0.389945677837273,0.00026477905628489247,1.3865507321271895,0.17391304347826086,8.0,1.0,-0.07159722724231403,0.3333333333333334,0.6086956521739129,0.014492753623188406,0.0,0.028985507246376812,0.0,0.014492753623188406,0.0
CCCCCC=CC[B-](OC(C)C)(c1cc(F)cc(F)c1)c1cccc(CO)c1,29.0,29.0,5.0,11.0,2.0,401.3260000000001,369.07000000000016,29.46,5.078300000000006,118.05480000000004,158.0,0.17297115148152634,-0.580373682433991,1.0,1.7241379310344827,2.3448275862068964,14.141103265660167,-1.9140659643487026,0.3018555254487315,0.9407242074141655,0.3391724717381854,0.8781620265870015,2130.8174327162337,5516.965882907567,6282.400873503255,4.165957003600519,0.28430488589037234,0.0004121244800722205,1.205491511961946,0.5833333333333334,8.0,0.5,0.006205423278869156,0.3934426229508198,0.5245901639344265,0.03278688524590164,0.0,0.03278688524590164,0.0,0.01639344262295082,0.0
CCOC(=O)CC(C)[B-](CCc1cccs1)(c1cccc(C)c1)C(O)C(C)C,28.0,28.0,5.0,10.0,4.0,401.4010000000001,367.12900000000013,46.53,4.854420000000005,120.91580000000008,154.0,0.3023214971282072,-0.4660494583665857,1.2142857142857142,1.9642857142857142,2.5357142857142856,12.33197714579659,-1.3910563114134549,0.03277772622771264,0.6670551357350921,0.7450083528991053,0.8052136531689114,3611.403768142588,3903.247003739141,4847.467486893629,3.9241194971975095,0.7933545850842306,0.0002229641726222841,1.8639764512320798,0.4782608695652174,8.0,1.0,0.0884525840187893,0.37096774193548365,0.5483870967741932,0.04838709677419355,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0
CN(C)[B-](CC1CC=CCC1)(c1ccc(C=O)o1)c1cccn1C,24.0,24.0,5.0,6.0,4.0,325.241,299.033,38.38,2.408200000000001,99.50550000000005,128.0,0.18460735894888533,-0.49751913102665835,1.3333333333333333,2.1666666666666665,2.7083333333333335,11.145323479330514,-1.227314814814815,0.1913176629908258,0.8952734847373793,0.4455169890432791,0.9081799114194394,1364.8976202836654,2782.32397500201,3063.626424695276,3.329473245700202,0.6033675611465665,0.0006653831744762609,1.4080748587211187,0.5789473684210527,8.0,1.0,-0.037027301902039816,0.38000000000000006,0.5200000000000001,0.04,0.04,0.0,0.0,0.02,0.0
CCCCC=C[B-](CN1CCN(C)CC1)(C(=O)c1ccc(C)cc1)c1ccc2ocnc2c1,33.0,33.0,6.0,9.0,5.0,444.40800000000013,409.1280000000002,49.58,4.2863200000000035,137.5084999999999,174.0,0.18147612904357438,-0.4434856263459471,1.121212121212121,1.878787878787879,2.606060606060606,14.350277935248172,-1.6817337490551783,0.07825265964609858,0.7824854075900199,0.6226689223886803,0.7519382024033022,4319.286202597044,5215.992297137408,6936.73001380479,4.304942420652077,0.4588673183384372,0.00017408853387654346,1.533082106867316,0.5925925925925926,8.0,1.0,0.1537795524946914,0.3970588235294118,0.5147058823529411,0.029411764705882353,0.044117647058823525,0.0,0.0,0.014705882352941176,0.0
C#C[B-](CCCCCCCC)(CC(C)C(=O)N(C)C)c1pcccc1C,26.0,26.0,4.0,11.0,1.0,372.32200000000006,336.03400000000005,20.310000000000002,5.488120000000006,118.76100000000005,144.0,0.22124510450533272,-0.34869708425818424,1.2692307692307692,1.9230769230769231,2.5,12.47616161222274,-1.1222912729906778,0.22701298346124799,0.9145576365737192,0.4044555963077937,0.7959773105838845,2160.5778913505956,4252.063749305842,5341.940898022288,3.9730978191358743,0.3031552808460025,0.00036840944905083356,1.1667100919393067,0.2727272727272727,7.0,1.0,0.008811950409987751,0.35483870967741915,0.5806451612903222,0.016129032258064516,0.016129032258064516,0.0,0.0,0.016129032258064516,0.016129032258064516
Cc1cc([B-](CC=CSC(C)C)(CCc2cccs2)c2cccc(F)c2F)cnc1F,31.0,31.0,7.0,9.0,3.0,460.41900000000004,434.2110000000001,12.89,6.329820000000005,129.81600000000003,164.0,0.21499775361794515,-0.23140519153428982,1.1612903225806452,1.967741935483871,2.6451612903225805,15.184742168472326,-1.7633163265306129,0.09901063267897205,0.7851990854323075,0.6192434062921203,0.666230283845808,4526.292220239893,4869.737683144497,7309.3910637534855,4.259288871447463,0.3883336049364543,0.00014719117799479988,1.334557165986172,0.7083333333333334,7.0,1.0,-0.004685165424689578,0.42105263157894735,0.45614035087719296,0.0,0.017543859649122806,0.05263157894736842,0.03508771929824561,0.017543859649122806,0.0
CC(=O)c1cccc([B-](c2ccc(F)cc2)(C2CC3CCC2C3)C2(C)CC2)c1,28.0,28.0,3.0,5.0,1.0,375.31600000000026,346.0840000000001,17.07,5.335600000000006,114.66750000000005,146.0,0.15918112821981045,-0.2945143306195173,1.0357142857142858,1.7857142857142858,2.357142857142857,13.848856136998723,-1.0531481481481482,0.10753052298920193,0.8332222385040307,0.5529382436243058,0.8414520582077178,2248.764534332317,3422.1317980026056,4066.936154736733,3.6017835672745395,0.624944873070668,0.00037418415550454875,1.3356835660201585,0.52,8.0,1.0,0.15918112821981045,0.43859649122807015,0.5087719298245614,0.017543859649122806,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0
Cc1csc([B-](c2ccccp2)(c2cc(C)ccc2C=O)C(C)c2ccccc2)c1,30.0,30.0,4.0,6.0,2.0,427.33800000000014,402.1380000000002,17.07,5.570640000000005,134.09049999999993,150.0,0.1464132281978367,-0.29802447694612805,0.9333333333333333,1.7,2.3333333333333335,12.2335759952129,-1.3650308641975313,0.03229421296213628,0.6782470378248846,0.7348339647034353,0.9376011399895883,3025.6836558323266,3860.578826267463,4117.506540478751,3.5881449462278026,0.6301680577358916,0.0003098807564307863,1.5339821416642236,0.8461538461538461,8.0,1.0,0.1464132281978367,0.47272727272727283,0.45454545454545464,0.01818181818181818,0.0,0.0,0.01818181818181818,0.01818181818181818,0.01818181818181818
Cc1ccc(C=O)c([B-](C(=O)c2cccs2)(C(=O)C(C)C)c2cccn2C)c1,28.0,28.0,6.0,7.0,5.0,392.30900000000014,369.12500000000017,56.14,2.956920000000001,115.49600000000002,144.0,0.2135068152664398,-0.39082281024238513,1.1428571428571428,1.8928571428571428,2.4285714285714284,13.992461262282692,-2.512268518518519,0.04859141836241091,0.733409836979365,0.6797867393689739,0.8364610942156905,2389.475555473531,2940.191713048672,3515.03702130408,3.3574729715598486,0.64873945724588,0.00035006053621248535,1.4686221319824477,0.7727272727272727,7.0,1.0,-0.12350745222962713,0.43137254901960764,0.45098039215686253,0.058823529411764705,0.0196078431372549,0.0,0.0196078431372549,0.0196078431372549,0.0
CCCCCCC#C[B-](COCC1CCCC1)(c1ccc(OC)cc1)C(C)CC(C)=O,31.0,31.0,4.0,13.0,3.0,425.4420000000001,383.10600000000017,35.53,5.979200000000007,132.41600000000003,172.0,0.12649200569294497,-0.496772659245807,1.1612903225806452,1.8709677419354838,2.4838709677419355,12.064734428746043,-1.3347896982867216,0.10997281278393595,0.8349945964188347,0.5502581430123026,0.8755474665244257,4032.90189126062,6416.982789759198,7329.1089690797235,4.571075649763904,0.5367180153815352,0.00021710110737425942,1.6987293871156521,0.25925925925925924,8.0,1.0,0.07750647146553874,0.3698630136986301,0.575342465753425,0.0410958904109589,0.0,0.0,0.0,0.0136986301369863,0.0
CC(C)(C)C(O)[B-](c1ccc(N)cc1)(c1cccc(CO)c1)C1(c2ccccc2)CC1,31.0,31.0,4.0,6.0,3.0,414.3780000000002,381.1140000000002,66.48,3.5413000000000023,131.057,162.0,0.09544928164026707,-0.4296422133772405,0.9032258064516129,1.5483870967741935,2.096774193548387,12.206720993953136,-1.6504629629629628,0.1275995217958375,0.848464250934336,0.5292526947370567,0.926343876706528,2353.2455896137217,4118.854120163411,4446.355423438818,3.6296709374968033,0.6895224628036969,0.0003936452195193892,1.6138677873643383,0.6666666666666666,8.0,0.5,-0.056750820279541134,0.421875,0.515625,0.03125,0.015625,0.0,0.0,0.015625,0.0
C#C[B-](CCc1ccccc1)(CC(C)C(=O)N(C)C)c1cc(C)ccc1C=O,28.0,28.0,4.0,8.0,2.0,374.3130000000001,345.08100000000013,37.38,3.6027200000000024,118.40550000000006,146.0,0.2212449634502838,-0.3486970851953677,1.2142857142857142,1.8928571428571428,2.4642857142857144,12.561200746904209,-1.526797052154195,0.1332372470167606,0.8557475791637309,0.5173935453360566,0.7742126625953443,2245.381702026854,3359.923914280669,4339.794576618533,3.6447867895071084,0.43257174614037325,0.0003448022498341732,1.2847746471507218,0.5833333333333334,7.0,1.0,0.00881195040584237,0.42105263157894735,0.5087719298245614,0.03508771929824561,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0
CC(C)C#C[B-](CC=CSC(C)C)(CCc1cccs1)OC(C)C,24.0,24.0,4.0,9.0,3.0,363.42100000000005,331.165,9.23,6.515000000000007,114.09300000000006,134.0,0.18934797015822977,-0.5777601811195693,1.25,2.0,2.5416666666666665,6.426715325018896,-1.1626681783824644,0.05771729144711619,0.7429648657039171,0.6693304179025189,0.771661347057219,3157.8154106924826,3640.5996625838334,4717.872258948175,3.980487263635086,0.6818508256113787,0.0002443655650182542,1.6655164301400949,0.3,8.0,0.5,0.0063899571197479355,0.35714285714285704,0.5714285714285714,0.017857142857142856,0.0,0.0,0.03571428571428571,0.017857142857142856,0.0
COP(=O)(OC)[B-](O)(CCN1CCCC1=O)C1(C)CC1,20.0,20.0,8.0,7.0,5.0,304.112,279.91999999999996,76.07000000000001,2.0832999999999995,77.81930000000004,116.0,0.2509052497017872,-0.5949097589693504,1.4,2.0,2.4,12.775532879818595,-3.558635361552028,0.21479278606017307,0.9087802938112675,0.4172749424304153,0.7858501463938968,1191.7364606713998,2244.386558720187,2855.9981429273903,3.216375623008887,0.36727320139753283,0.0006594160473626569,1.0577733904213142,0.08333333333333333,8.0,0.0,0.14829494584290545,0.27272727272727276,0.5454545454545453,0.11363636363636365,0.022727272727272728,0.0,0.0,0.022727272727272728,0.022727272727272728
C=CC(C)[B-](C=CCOC)(CCC(C)=O)OC1=CCCCC1C,23.0,23.0,4.0,10.0,3.0,319.27400000000006,287.018,35.53,4.949400000000005,98.67900000000006,130.0,0.19117471403056313,-0.7120608038052235,1.565217391304348,2.3043478260869565,2.869565217391304,11.553079412320484,-1.3292129629629632,0.08199341581348485,0.7974840020679823,0.603340091860001,0.9077189305783956,1896.7436558925554,2853.6312208266977,3143.738799198969,3.516048956994232,0.6783679663313487,0.00047856700496053486,1.4506211936622588,0.3684210526315789,8.0,0.5,0.04281876102081879,0.3454545454545455,0.5818181818181819,0.05454545454545454,0.0,0.0,0.0,0.01818181818181818,0.0
CCOC(=O)CC(C)[B-](c1cccc(CO)c1)(C(C)(C)CC(C)=O)C1(c2ccccc2)CC1,33.0,33.0,5.0,11.0,4.0,449.4200000000003,411.1160000000002,63.6,5.208300000000006,135.11979999999994,178.0,0.30232058339783774,-0.46604946345217996,1.121212121212121,1.7878787878787878,2.3333333333333335,12.768440570672713,-1.5003155706727136,0.09702463311692074,0.8181947656106004,0.5749411496209108,0.7886419992698981,3478.1664702280027,4770.972056327435,6049.604333454549,3.988482882699536,0.519474272325113,0.0002267407284902613,1.5419768391142992,0.5,8.0,1.0,0.08845258399003267,0.39436619718309845,0.5352112676056335,0.056338028169014086,0.0,0.0,0.0,0.014084507042253521,0.0
C=CC(C)[B-](CC=CCCCCC)(CCC(N)=O)CC(C)c1ccccc1,27.0,27.0,3.0,14.0,1.0,368.394,329.0820000000001,43.09,6.826900000000006,121.74640000000005,150.0,0.21373807666730943,-0.36978462998957945,1.1851851851851851,1.8888888888888888,2.4814814814814814,11.54925790901357,-0.7978074609473418,0.19823157510196865,0.8881828615075583,0.45949015715708785,0.6639082313461847,2811.5939555995183,4062.4164440753043,6118.942727729218,4.199355713997474,0.24678915001657747,0.0002361323298565063,1.0774031171666756,0.4583333333333333,7.0,0.3333333333333333,0.15909779541579888,0.3636363636363634,0.5909090909090905,0.015151515151515152,0.015151515151515152,0.0,0.0,0.015151515151515152,0.0
CCC(C)=CC[B-](CCCCC#N)(C1CCC(=O)CC1)C1(c2ccccc2)CC1,29.0,29.0,3.0,10.0,2.0,390.40000000000015,353.10400000000016,40.86,7.269680000000007,123.45900000000005,156.0,0.13218910303945777,-0.299721993787816,1.206896551724138,1.896551724137931,2.4827586206896552,12.041477258194881,-0.6718093348450493,0.031239446754104637,0.6783907836678347,0.7347012621702381,0.8652342093224134,3132.9521031985314,3689.577622132717,4264.253057009983,3.768190644802951,0.8058514003746752,0.00027617217908919447,1.7471579567393278,0.34615384615384615,8.0,1.0,0.13218910303945777,0.3939393939393937,0.5606060606060602,0.015151515151515152,0.015151515151515152,0.0,0.0,0.015151515151515152,0.0
C=CCCCC[B-](C#CCCCCCC)(c1cccnc1)C1(C)CCC(=O)C1,28.0,28.0,3.0,11.0,2.0,378.3890000000002,341.0930000000001,29.96,6.120000000000006,122.24000000000008,152.0,0.12971511558469914,-0.30828240777613064,1.2857142857142858,2.142857142857143,2.7857142857142856,12.294093250940362,-1.1515952538422778,0.22784276199996206,0.915269270353554,0.4028426029437216,0.8306538914847813,2414.1321461864377,4977.895205558533,5992.742893987555,4.205534607965742,0.33685899365489363,0.0003440797111280552,1.2652302997122395,0.32,6.0,0.5,-0.149714418994526,0.38461538461538464,0.569230769230769,0.015384615384615385,0.015384615384615385,0.0,0.0,0.015384615384615385,0.0
CCCCCCC#C[B-](C=C(C)c1ccccc1)(CCCCC)C(F)=C(F)F,28.0,28.0,4.0,11.0,0.0,389.3340000000002,356.07,0.0,8.397900000000003,117.06400000000009,154.0,0.2626864926677964,-0.30067721099994366,0.9285714285714286,1.5714285714285714,2.1785714285714284,14.78877619799833,-2.3744741276140084,0.14275365287951602,0.8513234261322934,0.5246412337191708,0.6889007343746479,3623.360462612088,4757.795467013673,6906.3585355770865,4.430903348014722,0.22915487940213633,0.00019012757396983298,1.0859466016063306,0.4166666666666667,6.0,0.5,-0.1492177824834463,0.3934426229508198,0.5409836065573773,0.0,0.0,0.04918032786885246,0.0,0.01639344262295082,0.0
CCC=CC[B-](c1cncnc1)(c1cc(F)cc(F)c1)C(C)CC(=O)OCC,28.0,28.0,7.0,9.0,4.0,387.25900000000024,361.05100000000016,52.08,3.6273000000000026,108.32400000000005,150.0,0.30233149972661,-0.46604933516563796,1.1071428571428572,1.75,2.3214285714285716,14.138216312006897,-1.7634637188208622,0.11713283593813319,0.8408017050903253,0.5413432300465222,0.7805570301179983,2718.3948987249714,3919.624613490282,5021.573648369736,3.8799483182590646,0.38448768430724406,0.00028713894014593266,1.2539898249490025,0.6190476190476191,8.0,1.0,0.08845258548878614,0.38888888888888873,0.4814814814814812,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,0.0
