ranker_al,ranker_solv,sascore,scscore,SASA,R_nums,Unnamed: 0,smiles,idx,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,P_ratio,predict_al,predict_solv,spatial,capacity,score
0.4243067531208462,5.12365296206053,1.9551802688134248,1.0041358944288985,563.8871874313461,1,385,c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,385,25.0,25.0,1.0,4.0,0.0,319.236,299.076,0.0,3.064000000000002,110.05800000000002,120.0,0.1076451292997068,-0.1951619654165936,0.28,0.48,0.68,2.256944444444444,-1.215555555555556,0.0007536114754505,0.2976207999533929,0.9546841673742696,0.9868295973827336,2234.1558928729314,2309.382763011429,2340.204194459071,3.283533043535759,0.950667431313153,0.0004417013157097,1.568777625221515,1.0,6.0,0.6666666666666666,-0.0965334003580403,0.5333333333333331,0.4444444444444442,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,3.324306753120846,-0.0610192343749935,280.0,83.96783431553955,-0.6257991726631937
0.25821814252266106,25.915094646464798,4.57413361599391,1.019223259038372,264.960669090745,1,645,C[B-](C)(C)C,645,5.0,5.0,1.0,0.0,0.0,70.952,58.856,0.0,1.9544,29.209999999999983,32.0,-0.0115874812902353,-0.1907348580087887,0.8,0.8,0.8,2.25,0.0,0.0011803731843304,0.3350402485026263,0.942203816529788,0.971980257872918,117.28013397423258,120.9865348279886,124.47427182600968,1.598825140497428,0.917564106810087,0.008287680316655,0.9500122822796512,0.0,6.0,0.0,-0.0187894238895508,0.2352941176470588,0.7058823529411765,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,2.641781857477339,-0.0685950265625025,60.0,377.79844902970405,-1.1810999163355103
0.0021421834028201303,5.103548296089443,2.628139627881181,1.3122449810043573,561.5018113288653,2,265,CCCC[B-](c1ccccc1)(c1ccccc1)c1ccccc1,265,23.0,23.0,1.0,6.0,0.0,299.24600000000004,275.054,0.0,3.9569000000000014,103.69700000000005,116.0,0.0814390210218005,-0.1999298484382833,0.5652173913043478,0.9130434782608696,1.2173913043478262,2.30125,-0.9134722222222228,0.0070008749089424,0.4977253231539447,0.8673347120295032,0.9149874617379512,2020.5922733217544,2131.6068292111654,2329.6568732891,3.2909441625343274,0.9107187807529332,0.0004528313177372,1.6345632212985888,0.8181818181818182,6.0,0.6666666666666666,-0.0968709585439259,0.4680851063829784,0.5106382978723402,0.0,0.0,0.0,0.0,0.0212765957446808,0.0,2.90214218340282,-0.0569738765625045,261.0,89.57698868340962,-1.2232947359311506
0.005410962876470915,29.72158284912071,4.168646133767654,1.263750479230402,271.5535689332406,2,329,[H][B-]([H])([H])CCCC,329,5.0,5.0,1.0,2.0,0.0,70.952,58.856,0.0,0.5702,29.653999999999986,32.0,-0.0478663895982314,-0.1869220369472149,1.6,2.2,2.2,2.2518055555555554,0.7481944444444444,0.5184373473389036,0.9798587163081576,0.1996920030319926,0.9139058634103892,44.78840122315516,204.9775748108489,224.28740531977945,1.8277479503871672,0.3405875892030643,0.0204049673230557,0.5689955099343346,0.0,1.0,0.0,-0.0478663895982314,0.2352941176470588,0.7058823529411765,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,2.905410962876471,-0.0786704734375018,42.0,377.79844902970405,-1.5624168298324024
0.3694806269429889,12.586939059574501,4.381957477523645,1.1296934371515135,349.7699400888868,1,680,CC[B-](CC)(CC)CC,680,9.0,9.0,1.0,4.0,0.0,127.06,106.89999999999998,0.0,3.514800000000003,47.678000000000026,56.0,-0.0005432621899866,-0.1810496261237117,0.6666666666666666,0.8888888888888888,0.8888888888888888,2.329861111111111,0.0555555555555555,0.0770117739832562,0.7782532760252445,0.6279505062948627,0.745708218089792,316.9612523530236,376.4000639004116,504.75515056626153,2.171351310845341,0.5545246073619396,0.002352679428649,0.9651714711532172,0.0,6.0,0.25,-0.0969370479822491,0.2758620689655173,0.689655172413793,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,2.530519373057011,-0.059662873749993,108.0,210.96769680116148,-1.5790355672471024
0.16008951878444577,5.248879057394952,2.9967561046692435,1.4397387164484954,565.2465463544446,2,229,CCCC[B-](CCCC)(c1ccccc1)c1ccccc1,229,21.0,21.0,1.0,8.0,0.0,279.25600000000003,251.03199999999995,0.0,4.8498000000000046,97.33600000000008,112.0,0.0543806106331597,-0.2046859077143954,0.6190476190476191,1.0,1.3333333333333333,2.3455555555555554,-0.6113888888888892,0.0569484954969644,0.7552145629108132,0.6554776609217353,0.8697715760056747,1576.0885928420023,2091.3558783881026,2404.488645159471,3.297214759308512,0.6540024390937177,0.0005518544959692,1.4337524153148031,0.6,6.0,0.6666666666666666,-0.0972046490072151,0.4081632653061225,0.5714285714285717,0.0,0.0,0.0,0.0,0.0204081632653061,0.0,2.739910481215554,-0.0546819843749925,242.0,95.98918395864584,-1.7387356889742618
0.09457199308253106,27.230627950243054,4.5800899207499,1.0,250.34667891152145,2,185,C[B-](C)(C)F,185,5.0,5.0,2.0,0.0,0.0,74.915,65.843,0.0,1.7908,24.45399999999999,32.0,0.1480679003560931,-0.5180939593696676,1.2,1.2,1.2,11.75,-1.5,0.0019108552108742,0.3655367833593532,0.9307968951448524,0.946353503361998,114.17601353437666,116.0842617457906,122.66479844306784,1.53476493162187,0.4835940427184438,0.0082885491800523,0.5999922559239478,0.0,9.0,0.0,0.1480679003560931,0.2142857142857142,0.6428571428571427,0.0,0.0,0.0714285714285714,0.0,0.0714285714285714,0.0,2.805428006917469,-0.0761029738281124,60.0,357.81292872663107,-1.765538071635906
0.3512063620038126,6.269513117759464,2.4154467012174266,1.0722271564814336,499.16292199605886,2,388,C[B-](c1ccccc1)(c1ccccc1)c1ccccc1,388,20.0,20.0,1.0,3.0,0.0,257.165,239.021,0.0,2.786600000000001,89.84600000000003,98.0,0.0787428225313919,-0.2001860966997053,0.45,0.7,0.95,2.361111111111111,-0.9116666666666672,0.1174686194790313,0.8110907569146152,0.5849203228198491,0.6569066712337589,1309.7755791673708,1470.9701171369677,2239.2375988118497,3.1241379874198145,0.4871467171868978,0.0005015413950925,1.2244770293177687,0.9473684210526316,6.0,0.6666666666666666,-0.0968800605647957,0.4999999999999998,0.4736842105263156,0.0,0.0,0.0,0.0,0.0263157894736842,0.0,3.2512063620038125,-0.0601479546874923,225.0,104.23485138162482,-1.7922186574982657
0.2481692757761751,13.442053546759317,3.0720437256498725,1.2835325657361976,342.28777529809594,2,470,C[B-](C)(C)c1ccccc1,470,10.0,10.0,1.0,1.0,0.0,133.02299999999997,118.91099999999996,0.0,2.2318,49.42200000000003,54.0,0.0186723604585852,-0.2105114547217909,0.9,1.4,1.7,2.287037037037037,-0.3038888888888891,0.3113466093476286,0.943610407215679,0.3310580000457022,0.8646354553127956,204.92603791211016,535.2123134650853,619.0034310719583,2.260237181921453,0.3774128069495615,0.0042192561966362,0.605963747262988,0.6666666666666666,6.0,0.6666666666666666,-0.0976086780570391,0.375,0.5833333333333333,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,3.148169275776175,-0.0667064066344252,115.0,201.5106827808391,-2.063194186092132
0.19155870958445975,15.912431917256438,4.1190867918533804,1.2070422010856587,345.1657037175938,2,350,CCCC[B-](C)(C)C,350,8.0,8.0,1.0,3.0,0.0,113.033,94.88899999999998,0.0,3.1247000000000016,43.061000000000014,50.0,-0.0085023715615784,-0.1904805695102008,1.125,1.625,1.75,2.356805555555556,-0.0018055555555556,0.4713716984944954,0.9728872776206976,0.2312797981748253,0.9812798405650028,137.86221830552466,584.9253443939926,596.0841344271411,2.415369896324607,0.4050394379129824,0.0071178300525407,0.8406576029933395,0.0,6.0,0.0,-0.0187802240572355,0.2692307692307693,0.6923076923076921,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,2.70844129041554,-0.0670991471590848,96.0,237.14805017610414,-2.0665105897099747
