,y_train,y_train_pre,y_test,y_test_pre
0,-0.0786527999999862,-0.079907,-0.0820766000000503,-0.08219647
1,-0.0899571000000207,-0.08964528,-0.0536905999999817,-0.050130486
2,-0.0871709000000464,-0.08650762,-0.0935927000000447,-0.09481882
3,-0.0795663000000104,-0.08039434,-0.1074755999999297,-0.107283056
4,-0.0806112999999868,-0.081029676,-0.0806122000000186,-0.082484156
5,-0.081479599999966,-0.08192431,-0.0511260999999194,-0.046949547
6,-0.057394600000066,-0.057303775,-0.072648499999957,-0.071945935
7,-0.0818583999999873,-0.081977636,-0.0826888999999937,-0.08346154
8,-0.0803682000000662,-0.08021201,-0.05647620000002,-0.061589424
9,-0.0757158999999774,-0.07513363,-0.0966076000000839,-0.09342603
10,-0.0580846000000292,-0.058823723,-0.0666532999999844,-0.067406856
11,-0.0562952000000223,-0.056427963,-0.0727461000000175,-0.07399429
12,-0.0833521999999789,-0.08426633,-0.0836526000000503,-0.081833206
13,-0.0755675999999994,-0.075846046,-0.0772734999999329,-0.076124005
14,-0.0775413999999727,-0.079941,-0.0896457999999711,-0.086672194
15,-0.0860077999999475,-0.0851301,-0.0535141000000294,-0.055240966
16,-0.0857740999999805,-0.086171135,-0.059880000000021,-0.060028523
17,-0.0503047999999353,-0.049894504,-0.0850371000000222,-0.08473534
18,-0.0801072000000431,-0.08064442,-0.0830395000000407,-0.0746864
19,-0.0854064000000107,-0.085777946,-0.0810953000000154,-0.08155932
20,-0.0773030999999946,-0.07753803,-0.0717341999999234,-0.07863784
21,-0.0800277999999252,-0.07907174,-0.0895975000000817,-0.08748886
22,-0.0808033000000705,-0.08077557,-0.0540756000000328,-0.052590307
23,-0.0659322999999858,-0.06490206,-0.0811929999999847,-0.08526319
24,-0.0804473999999686,-0.08077301,-0.0799355000000332,-0.08569291
25,-0.0812669000000596,-0.08239396,-0.0811215000001084,-0.082067534
26,-0.0828444999999646,-0.08284934,-0.0833721000000196,-0.07785383
27,-0.0522189000000707,-0.051198438,-0.0690878999999995,-0.065453336
28,-0.083062400000017,-0.08211867,-0.0825160000000551,-0.08207279
29,-0.0634645000000091,-0.06332105,-0.0904427000000112,-0.084644765
30,-0.0498354999999719,-0.049595468,-0.0818133999999872,-0.08626357
31,-0.0787732999999661,-0.07926706,-0.0843642999999474,-0.08634375
32,-0.0788288999999622,-0.07934323,-0.0825518999999985,-0.08357081
33,-0.0938986999999542,-0.09430362,-0.0807117999999036,-0.0817363
34,-0.0881351000000449,-0.08736255,-0.0514646999999968,-0.053926624
35,-0.0646904999999833,-0.06695563,-0.0805280000000721,-0.080083765
36,-0.0827657000000954,-0.08242744,-0.0849517000000332,-0.082985915
37,-0.0527138999999579,-0.05272806,-0.0841942000000131,-0.08273708
38,-0.0849958999999671,-0.08550366,-0.0820997000000716,-0.07998898
39,-0.0837619999999788,-0.0832895,-0.0809676000000081,-0.084662676
40,-0.0552913999999873,-0.05509436,-0.0564505999999482,-0.055656195
41,-0.07946359999994,-0.08011678,-0.0574493000000302,-0.05417236
42,-0.0824632000000065,-0.08138579,-0.0808122999999341,-0.07980635
43,-0.0993042999999715,-0.099517085,-0.0935513000000582,-0.08508247
44,-0.0817393999999467,-0.08193578,-0.0940105999999332,-0.08536075
45,-0.0852574000000458,-0.084650256,-0.0805708000000322,-0.080846615
46,-0.0831896000000256,-0.083512135,-0.0847671000000218,-0.08490182
47,-0.0993440999999961,-0.098991685,-0.0920772999999997,-0.079704314
48,-0.0819323000000622,-0.081894554,-0.077636200000029,-0.07658273
49,-0.089736900000048,-0.08849832,-0.0563061999999945,-0.051593788
50,-0.0885753000000022,-0.08679469,-0.0841517000000067,-0.08168819
51,-0.0769145000000435,-0.07682679,-0.0843527999999196,-0.08195781
52,-0.0874953000000005,-0.087205276,-0.0513361999999233,-0.05205244
53,-0.079516099999978,-0.079278365,-0.0955854000000044,-0.08471647
54,-0.0584006999999928,-0.059213884,-0.0910756999999193,-0.08890813
55,-0.0550498000000061,-0.055408727,-0.081770899999924,-0.08106344
56,-0.0790067000000362,-0.07866611,-0.0867006000000856,-0.08473008
