C,gamma,mae_train,mae_test
0.0001,1e-08,0.010947861711723668,0.009962420805378538
0.0001,1e-07,0.010947861711723668,0.009962420805378538
0.0001,1e-06,0.010947861711723668,0.009962420805378538
0.001,1e-08,0.010947861711723668,0.009962420805378538
0.001,1e-07,0.010947861711723668,0.009962420805378538
0.001,1e-06,0.010947861711723668,0.009962420805378538
0.01,1e-08,0.010947861711723668,0.009962420805378538
0.01,1e-07,0.010947861711723668,0.009962420805378538
0.01,1e-06,0.010947861711723668,0.009962420805378538
