R1,mean,var,num,difference
*c1ccccc1C,-0.0795035999999527,0.0,1,1.9795035999999526
*C1CC(F)(F)C1,-0.0761282999999366,0.0,1,1.9761282999999366
*CC(C)C(=O)N(C)C,-0.0854064000000107,0.0,1,1.9854064000000107
*C=CC1CC1,-0.0865148000000317,0.0,1,1.9865148000000317
*n1ccnc1,-0.0757158999999774,0.0,1,1.9757158999999773
*c1cc2ccccc2o1,-0.0794406999999637,0.0,1,1.9794406999999636
*c1c(C)cc(C)cc1C,-0.0774205999999821,0.0,1,1.977420599999982
*C(=C)C=C,-0.081035399999962,0.0,1,1.981035399999962
*COc1ccccc1,-0.0805623999999625,0.0,1,1.9805623999999624
*C1CCCC1C,-0.0795117000000118,0.0,1,1.9795117000000118
*C=CCCC#N,-0.0806122000000186,0.0,1,1.9806122000000186
*CC=Cc1ccccc1,-0.0786527999999862,0.0,1,1.9786527999999861
*C(O)C(C)C,-0.083432299999913,0.0,1,1.983432299999913
*CCC(C)=O,-0.0915569000000005,0.0,1,1.9915569000000004
*C(C)=Cc1ccccc1,-0.0800653000000011,0.0,1,1.980065300000001
*c1cccc(O)c1,-0.0867006000000856,0.0,1,1.9867006000000855
*C=CC(F)(F)F,-0.0712316000000328,0.0,1,1.9712316000000327
*C(=O)c1ccccn1,-0.0939994000000297,0.0,1,1.9939994000000296
*C=CCO,-0.0901409000000512,0.0,1,1.9901409000000512
*C(C)=C(C)C,-0.0812435999999934,0.0,1,1.9812435999999933
*COC(C)=O,-0.0874953000000005,0.0,1,1.9874953000000004
*C1SCCCS1,-0.0818640999998479,0.0,1,1.9818640999998478
*c1ccc(C=O)s1,-0.074382499999956,0.0,1,1.974382499999956
*CCCc1ccccc1,-0.0845230999999557,0.0,1,1.9845230999999557
*C#CCOC,-0.0668891999999914,4.8342816900356e-06,2,0.9668940342816814
*N(O)c1ccccc1,-0.0878401000001076,0.0,1,1.9878401000001076
*C=CCCC,-0.083467500000097,0.0,1,1.983467500000097
*C#CCCCCC,-0.0660852333333347,0.0001996253663744857,3,-0.03371514130029096
*C=CCOC,-0.0895975000000817,0.0,1,1.9895975000000816
*NCCCOC,-0.0577884000000494,0.0,1,1.9577884000000494
*C(=O)c1ccccc1,-0.0830964000000449,0.0,1,1.9830964000000448
*Cc1ccccc1,-0.06157919999998278,0.0001776405798797514,4,-1.0382431594201376
*Cc1ccc(F)cc1,-0.0786914000000251,0.0,1,1.978691400000025
*c1cncnc1,-0.0811215000001084,0.0,1,1.9811215000001083
*C=Cc1ccccc1,-0.0821259999999028,0.0,1,1.9821259999999028
*C#Cc1ccccc1C,-0.0813088999999536,0.0,1,1.9813088999999535
*CC(C)c1ccccc1,-0.0810335000001032,0.0,1,1.9810335000001031
*OC(C)C,-0.07986711666666459,2.6990898961383497e-05,12,-9.020105892434374
*c1cnc(F)c(C)c1,-0.0787359999999353,0.0,1,1.9787359999999352
*CC=CSC(C)C,-0.0552913999999873,0.0,1,1.9552913999999872
*CCC=C,-0.0812963000000195,0.0,1,1.9812963000000194
*C#CCCCC,-0.06714002499999096,0.00016510613324002322,12,-9.03269486886677
*c1ccccc1CO,-0.0788288999999622,0.0,1,1.9788288999999621
*CNC(=O)C1CC1,-0.0886608000000706,0.0,1,1.9886608000000705
*OCC(N)C(=O)O,-0.1214560000000801,0.0,1,2.02145600000008
*c1ccc(OC)cc1,-0.0845328999999992,0.0,1,1.9845328999999992
*C=CCCCC,-0.056545219999998106,0.00019312173972164796,5,-2.0432616582602803
*C=CC=CCCC,-0.1013224999999238,0.0,1,2.0013224999999237
*N1CCCC1,-0.0899571000000207,0.0,1,1.9899571000000207
*OC,-0.07468749473683915,0.00016791428829408087,19,-16.025144590974868
*c1c(C)noc1C,-0.0790067000000362,0.0,1,1.9790067000000362
*c1cnc(OC)nc1,-0.0826888999999937,0.0,1,1.9826888999999936
*CCN,-0.0955854000000044,0.0,1,1.9955854000000044
