,y_train,y_train_pre,y_test,y_test_pre
0,-0.0786527999999862,-0.08031292615963954,-0.0820766000000503,-0.08309927592811726
1,-0.0899571000000207,-0.08314414062501073,-0.0536905999999817,-0.050257506562467205
2,-0.0871709000000464,-0.08610429311597137,-0.0935927000000447,-0.09984398437501073
3,-0.0795663000000104,-0.08062017640894983,-0.1074755999999297,-0.10861004843753806
4,-0.0806112999999868,-0.08139595058889301,-0.0806122000000186,-0.08326300465764463
5,-0.081479599999966,-0.08207596024651514,-0.0511260999999194,-0.05064963312497584
6,-0.057394600000066,-0.05695467447920687,-0.072648499999957,-0.06998043910546753
7,-0.0818583999999873,-0.08115695678153471,-0.0826888999999937,-0.08646960314198232
8,-0.0803682000000662,-0.08123366601389342,-0.05647620000002,-0.0605779390625205
9,-0.0757158999999774,-0.07889442187498207,-0.0966076000000839,-0.08931799062499923
10,-0.0580846000000292,-0.059417727656266975,-0.0666532999999844,-0.07476632982812384
11,-0.0562952000000223,-0.05661016093750603,-0.0727461000000175,-0.07685565625001932
12,-0.0833521999999789,-0.08298140001071462,-0.0836526000000503,-0.08348892615515542
13,-0.0755675999999994,-0.07844599003071352,-0.0772734999999329,-0.07895983525093497
14,-0.0775413999999727,-0.08216880287201349,-0.0896457999999711,-0.08535802944297526
15,-0.0860077999999475,-0.08414685234664979,-0.0535141000000294,-0.0549026921875022
16,-0.0857740999999805,-0.0887324484151674,-0.059880000000021,-0.06101923437499356
17,-0.0503047999999353,-0.049506628124960976,-0.0850371000000222,-0.08400597150024637
18,-0.0801072000000431,-0.08055027619454275,-0.0830395000000407,-0.08151299218750395
19,-0.0854064000000107,-0.0854928666311578,-0.0810953000000154,-0.07679400562502925
20,-0.0773030999999946,-0.07867208858423373,-0.0717341999999234,-0.08182435489500595
21,-0.0800277999999252,-0.08023821669403185,-0.0895975000000817,-0.08663630730587367
22,-0.0808033000000705,-0.07915870479567422,-0.0540756000000328,-0.05284055156249677
23,-0.0659322999999858,-0.06578298359374467,-0.0811929999999847,-0.07850576203128197
24,-0.0804473999999686,-0.08091793265828223,-0.0799355000000332,-0.07927347557691863
25,-0.0812669000000596,-0.08321949091149256,-0.0811215000001084,-0.08477398307292104
26,-0.0828444999999646,-0.08310444143575028,-0.0833721000000196,-0.08308122171873339
27,-0.0522189000000707,-0.05278187343754401,-0.0690878999999995,-0.065021379687479
28,-0.083062400000017,-0.08226741238990863,-0.0825160000000551,-0.08229628875900483
29,-0.0634645000000091,-0.06332817187500515,-0.0904427000000112,-0.08285837760417446
30,-0.0498354999999719,-0.04979982968747086,-0.0818133999999872,-0.08510096060268302
31,-0.0787732999999661,-0.08117838860083461,-0.0843642999999474,-0.0856338769794242
32,-0.0788288999999622,-0.08038089655950113,-0.0825518999999985,-0.08266947097373305
33,-0.0938986999999542,-0.09190047486976131,-0.0807117999999036,-0.08143123067771546
34,-0.0881351000000449,-0.08377089171876177,-0.0514646999999968,-0.053985810937486875
35,-0.0646904999999833,-0.06647530078123685,-0.0805280000000721,-0.08051254254632191
36,-0.0827657000000954,-0.08137563554044562,-0.0849517000000332,-0.08306463617920178
37,-0.0527138999999579,-0.053592871874978514,-0.0841942000000131,-0.08214672767665919
38,-0.0849958999999671,-0.08423801961808319,-0.0820997000000716,-0.08087978029917714
39,-0.0837619999999788,-0.08290662863931891,-0.0809676000000081,-0.08359066663093644
40,-0.0552913999999873,-0.05373560312499047,-0.0564505999999482,-0.05826525156251171
41,-0.07946359999994,-0.08020198848434561,-0.0574493000000302,-0.05459092812500541
42,-0.0824632000000065,-0.08192540109726602,-0.0808122999999341,-0.07913825558238077
43,-0.0993042999999715,-0.10105749374998484,-0.0935513000000582,-0.08573025168295285
44,-0.0817393999999467,-0.08161191371686521,-0.0940105999999332,-0.08686663897089855
45,-0.0852574000000458,-0.08482757427896802,-0.0805708000000322,-0.08147275963648351
46,-0.0831896000000256,-0.08384023743056634,-0.0847671000000218,-0.08527296120078247
47,-0.0993440999999961,-0.09698182656250108,-0.0920772999999997,-0.08085504479166848
48,-0.0819323000000622,-0.08165672273192238,-0.077636200000029,-0.0779471796874882
49,-0.089736900000048,-0.08766019795874475,-0.0563061999999945,-0.053422868749994
50,-0.0885753000000022,-0.08673387782860573,-0.0841517000000067,-0.08201560215840714
51,-0.0769145000000435,-0.0770937026910097,-0.0843527999999196,-0.0812615300922312
52,-0.0874953000000005,-0.08766086222098345,-0.0513361999999233,-0.05146752656248309
53,-0.079516099999978,-0.07959640961795601,-0.0955854000000044,-0.08680637701389167
54,-0.0584006999999928,-0.059662873749993024,-0.0910756999999193,-0.08645083601774119
55,-0.0550498000000061,-0.054140570312508615,-0.081770899999924,-0.08420452527740571
56,-0.0790067000000362,-0.07953678101942648,-0.0867006000000856,-0.0844269626118396
57,-0.0787359999999353,-0.08037924407806774,-0.0551135000000044,-0.0554304846874837
58,-0.0819214000000556,-0.08179607654162643,-0.0845893000000614,-0.08167765232128085
59,-0.0844664999999622,-0.08284425121679229,-0.0832488000000353,-0.08212986246540452
60,-0.0919408999999404,-0.08843905455075575,-0.1082449000000451,-0.10266668906249564
61,-0.0548632999999654,-0.05664785781248315,-0.0730857000000924,-0.07234474322916225
62,-0.0465027000000191,-0.04829402031250218,-0.0862802000000328,-0.08373244504646579
63,-0.0543023000000175,-0.07005094824219357,-0.0518946000000823,-0.050958139062492684
64,-0.0823025999999345,-0.0830997026324273,-0.0802805999999236,-0.08369201681949655
65,-0.0657547000000136,-0.06470321953125868,-0.08208680000007,-0.08262814150868236
66,-0.0498522999999977,-0.05090477187500041,-0.0810875999999325,-0.08137516529044424
67,-0.0846991999999886,-0.08348667889689157,-0.083582700000079,-0.08295640380611606
68,-0.0814317000000528,-0.08086596023349804,-0.0830964000000449,-0.08234837129113223
69,-0.0826423999999974,-0.08200470061722531,-0.0623770999999919,-0.0682934640364554
70,-0.0818679999999858,-0.08162304131058375,-0.0905661000000463,-0.0852402264188874
71,-0.0554815000000417,-0.05454778750002641,-0.0744061999999985,-0.07968908359375247
72,-0.0813088999999536,-0.08143622218702426,-0.075253499999917,-0.07253079693109406
73,-0.0868024000000105,-0.08768281488467776,-0.0478276999999707,-0.04863071874997613
74,-0.0918563999999833,-0.08949606723889714,-0.082627699999989,-0.08106922539995559
75,-0.0762323999999807,-0.07531589651440342,-0.0946627999999236,-0.0841925508892029
76,-0.0812963000000195,-0.08183921675246313,-0.0612899000000197,-0.06083193671876884
77,-0.0595508000000108,-0.06432789843750261,-0.0856600999999273,-0.08439788874580009
78,-0.0772994000000153,-0.08113175787947355,-0.0824728999999706,-0.08347419481233
79,-0.0590730000000121,-0.05808042187501171,-0.0680578000000196,-0.06873227968749361
80,-0.0825545999999803,-0.08258392544382011,-0.0547986000000264,-0.05304538593749618
81,-0.0870330000000194,-0.08663036508557799,-0.0557664000000386,-0.05346047187499179
82,-0.0723069000000578,-0.07497552352434558,-0.0890925999999581,-0.08189691544096141
83,-0.0865148000000317,-0.08466585003953861,-0.0760113000000046,-0.08270728889801383
84,-0.0845381000000315,-0.08286399235425669,-0.0806291999999757,-0.08479071662546694
85,-0.0857965000000149,-0.08461018631231856,-0.0832014999999728,-0.08294493000630121
86,-0.0823560999999699,-0.08323161134996752,-0.0869619000000057,-0.0850915820468567
