R1,mean,var,num,difference
*C(C)CC,2.386080259033051,0.1657745185618911,14,-13.32030574047116
*C=CCCCC,2.648548469086812,0.6408998671866567,5,-4.107648601900156
*NCCCOC,2.3218669886545533,0.0,1,-0.4218669886545534
*C=CCCC#N,4.419192090996866,0.0,1,0.5191920909968659
*CC(C)c1ccccc1,3.666214963465401,0.0,1,-0.23378503653459903
*c1cccs1,2.9805032629410055,0.4936143253643397,4,-3.425882411694655
*CCC(=O)N(C)C,4.505493311394028,0.0,1,0.6054933113940284
*CNC(=O)C(C)(C)C,3.729987796551831,0.0,1,-0.1700122034481688
*C#Cc1ccccc1C,4.316710922427433,0.0,1,0.4167109224274328
*c1cccc(F)c1F,4.871928592526869,0.0,1,0.971928592526869
*c1cccnc1F,4.8314950489730375,0.0,1,0.9314950489730376
*C=CC,4.1260917583051615,0.0,1,0.2260917583051616
*Cc1ccccc1F,3.492646515002385,0.0,1,-0.40735348499761503
*C(=O)c1ccccc1C,3.604684356631664,0.0,1,-0.29531564336833593
*C#CC(=C)C,4.06914492589513,0.05770642531783694,2,-0.7731486487870329
*C1(C)CCC(=O)C1,3.751444051406972,0.0,1,-0.14855594859302812
*Cc1ccccc1C,3.430680524437529,0.0,1,-0.4693194755624708
*c1ccc(OC)cc1,3.848512855884908,0.0,1,-0.0514871441150917
*CN1CCOCC1,2.8338020728601925,0.0,1,-0.9338020728601926
*CCCC#N,3.833943827541905,0.0,1,-0.06605617245809503
*CCCc1ccccc1,3.848961845362458,0.0,1,-0.05103815463754202
*C1=CCSCC1,3.790193204126175,0.0,1,-0.10980679587382491
*CSC,2.403891924392789,0.059927681275150746,2,-1.4439642431176385
*C=CCOC,4.285741532883703,0.0,1,0.3857415328837033
*COc1ccccc1,3.881528548992121,0.0,1,-0.018471451007878947
*Cc1cccc(F)c1,3.499014002172855,0.0,1,-0.40098599782714484
*C=Cc1ccc(C)cc1,3.869541890451219,0.0,1,-0.03045810954878103
*CC=CC,3.233952382235717,0.0,1,-0.6660476177642831
*C1Cc2ccccc2C1,3.649515275951462,0.0,1,-0.2504847240485377
*c1ccccn1,3.546067192654913,0.31460483848790805,3,-2.0393279688571786
*c1ccccp1,3.0596492237113577,0.0,1,-0.8403507762886422
*C(C)CC(=O)CC,3.815333893870021,0.0,1,-0.08466610612997894
*C(=C)C,4.216686950822636,0.0,1,0.316686950822636
*c1c(C)cccc1C,4.088782093071449,0.0,1,0.18878209307144944
*CCCCC#N,3.783091006892812,0.0,1,-0.11690899310718805
*c1cccc(CO)c1,4.299020736899369,0.0,1,0.3990207368993688
*c1cccc(O)c1,4.037540148213017,0.0,1,0.13754014821301697
*C(=O)CCCCO,3.5359726392674378,0.0,1,-0.36402736073256214
*C12CC(C1)C2,3.73225723428192,0.0,1,-0.1677427657180801
*C(C)=CC,3.817437341555828,0.0,1,-0.08256265844417188
