index,smiles,al,solv,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,P_ratio,idx
0,c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,3.674002890089349,-0.059880000000021,25.0,25.0,1.0,4.0,0.0,319.236,299.076,0.0,3.064000000000002,110.05800000000002,120.0,0.10764512929970681,-0.19516196541659367,0.28,0.48,0.68,2.256944444444444,-1.215555555555556,0.00075361147545059,0.2976207999533929,0.9546841673742695,0.9868295973827335,2234.1558928729314,2309.3827630114292,2340.204194459071,3.283533043535759,0.950667431313153,0.00044170131570978066,1.5687776252215153,1.0,6.0,0.6666666666666666,-0.09653340035804032,0.5333333333333331,0.44444444444444425,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0
29,N#C[B-](c1ccccc1)(c1ccccc1)c1ccccc1,4.081500300042736,-0.0633500999999796,21.0,21.0,2.0,3.0,1.0,268.148,253.02799999999993,23.79,2.2195799999999997,89.59500000000003,100.0,0.18255318837248563,-0.24846806102608984,0.5238095238095238,0.8095238095238095,1.0476190476190477,10.114620181405897,-1.5922222222222224,0.07424331348191604,0.7526612627086416,0.6584079461988845,0.7028281153695111,1472.3553512145356,1571.6893190954015,2236.235695080422,3.137806891422556,0.44237386350935104,0.00047734951673843753,1.1707259828405006,0.9473684210526315,7.0,1.0,-0.13952536940048987,0.5277777777777779,0.4166666666666668,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,1
35,CC[B-](CC)(CC)CC,2.6383474280980423,-0.0584006999999928,9.0,9.0,1.0,4.0,0.0,127.05999999999999,106.89999999999998,0.0,3.514800000000003,47.678000000000026,56.0,-0.0005432621899866039,-0.1810496261237117,0.6666666666666666,0.8888888888888888,0.8888888888888888,2.329861111111111,0.05555555555555558,0.07701177398325625,0.7782532760252445,0.6279505062948627,0.745708218089792,316.9612523530236,376.40006390041157,504.75515056626153,2.171351310845341,0.5545246073619396,0.002352679428649028,0.9651714711532172,0.0,6.0,0.25,-0.09693704798224914,0.2758620689655173,0.689655172413793,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,2
74,CCC(C)[BH-](C(C)CC)C(C)CC,2.480986139293974,-0.0551135000000044,13.0,13.0,1.0,6.0,0.0,183.16799999999998,154.94399999999996,0.0,4.613800000000004,66.29400000000005,80.0,-0.007643577384025596,-0.17199094693062913,0.6923076923076923,0.9230769230769231,1.0769230769230769,2.456666666666667,0.0625,0.06454466959896164,0.7662679670589229,0.642521130126773,0.8002349363430421,664.1742567975132,827.2030586825654,1033.700256155728,2.6254125846872003,0.6469649775474322,0.0012048569003586204,1.155272418060015,0.0,1.0,0.0,-0.007643577384025596,0.2926829268292683,0.682926829268293,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,3
80,[BH3-]C#N,4.35599069907261,-0.079351900000006,3.0,3.0,2.0,0.0,1.0,39.854,36.83,23.79,-1.1671200000000002,15.551999999999998,16.0,0.05980390209122972,-0.25101984154060064,2.0,2.0,2.0,7.430555555555555,0.06944444444444442,0.8164941693627971,0.9977991495465393,0.06630880155909313,0.9971916205080653,3.7763843814737017,56.79153856622064,56.95147993450403,1.214238033143259,0.4339732212357947,0.26405988368136396,0.365918689163812,0.0,7.0,1.0,-0.1691272641782236,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,4
82,c1cnn([BH-](n2cccn2)n2cccn2)c1,4.401316867390964,-0.077636200000029,16.0,16.0,7.0,3.0,6.0,213.033,202.95299999999997,53.46,-0.06200000000000028,60.02400000000003,80.0,0.32548046771025363,-0.40280342411014186,0.625,1.0,1.25,4.260555555555555,-1.125,0.15947928034248712,0.838907748719796,0.5442736344320599,0.6040640096503831,833.3283188991361,924.8723690147098,1531.083385600149,2.7785118391064687,0.3057640843136838,0.0007248811734231937,0.8186638296862326,1.0,7.0,0.6666666666666666,-0.22150114187806244,0.34615384615384615,0.3846153846153846,0.0,0.23076923076923078,0.0,0.0,0.038461538461538464,0.0,5
122,F[B-](F)(F)c1ccccc1,4.4792614411563925,-0.081936799999994,10.0,10.0,4.0,1.0,0.0,144.912,139.87199999999999,0.0,1.741,35.15400000000001,54.0,0.5091321716170938,-0.4448579826449578,0.9,1.4,1.7,11.85037037037037,-4.803888888888888,0.3395156973879145,0.9508785018164861,0.30956433060550526,0.8570991639813926,196.1516337559873,543.0903520990191,633.6377106894594,2.1764518725075366,0.09944896191977959,0.004369574433663011,0.18232750288858804,1.0,9.0,0.0,0.5091321716170938,0.39999999999999997,0.3333333333333333,0.0,0.0,0.2,0.0,0.06666666666666667,0.0,6
123,COc1ccccc1[B-](F)(F)F,3.925586662175725,-0.0890925999999581,12.0,12.0,5.0,2.0,1.0,174.93799999999996,167.88199999999995,9.23,1.7496,41.70600000000001,66.0,0.5127571244355112,-0.49975573382769967,1.1666666666666667,1.75,2.1666666666666665,12.21787037037037,-4.963101851851852,0.19575481281359122,0.8828298715049481,0.4696928975176833,0.6453658567104924,421.8980834415584,579.6949868813489,898.2424168457317,2.3302414407646985,0.0934215329346884,0.0015296724067718809,0.2446563588651602,0.8571428571428571,8.0,1.0,0.0773336357437966,0.3684210526315789,0.3684210526315789,0.05263157894736842,0.0,0.15789473684210525,0.0,0.05263157894736842,0.0,7
124,COc1ccc([B-](F)(F)F)cc1,3.848512855884908,-0.0845328999999992,12.0,12.0,5.0,2.0,1.0,174.938,167.88199999999998,9.23,1.7496,41.70600000000002,66.0,0.509136507092979,-0.4967725869017314,1.0833333333333333,1.5833333333333333,1.9166666666666667,12.045216364323508,-4.880408163265306,0.572755019856072,0.9851638042913137,0.1716166621114233,0.9211720406430318,210.20796182916627,1128.3152508342403,1224.86918952361,2.7067644878088473,0.08818893648873158,0.0043821938647198265,0.24757702981914181,0.8571428571428571,8.0,1.0,0.0775064718710599,0.3684210526315789,0.3684210526315789,0.05263157894736842,0.0,0.15789473684210525,0.0,0.05263157894736842,0.0,8
130,N#Cc1ccc([B-](F)(F)F)cc1,4.937799430996513,-0.0717341999999234,12.0,12.0,5.0,1.0,1.0,169.922,165.89,23.79,1.61268,39.86900000000001,62.0,0.509133568955569,-0.4448579762933729,1.0833333333333333,1.5833333333333333,1.9166666666666667,12.003124527588813,-4.934263038548752,0.587664846885498,0.9864116654435198,0.1642925021933178,0.9243874716592014,195.90753665438373,1102.268637152047,1192.4313893756728,2.70715328946,0.07804367329604221,0.004718488565807389,0.17496448306700874,0.8571428571428571,9.0,0.0,0.509133568955569,0.4375,0.25,0.0,0.0625,0.1875,0.0,0.0625,0.0,9
